"01-446 Aurora" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1826 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,62 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,5 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,28 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,8 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,19 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1826 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,72 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,8 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,16 ,
"23-770 Dimond No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,45 ,
"23-770 Dimond No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1826 ,
"23-770 Dimond No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,62 ,
"23-770 Dimond No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,57 ,
"23-770 Dimond No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,5 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1826 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,72 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,2 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,49 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,0 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,0 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,0 ,
"23-770 Dimond No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,20 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1826 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,62 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,57 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1826 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,72 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,4 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,22 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,4 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,26 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,10 ,
"23-770 Dimond No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,6 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1826 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,62 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (ADL)" ,"ADL" ,"NP" ,"Tuck, Chris" ,"DEM" ,"Total" ,57 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1826 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,72 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (R)" ,"REP" ,"NP" ,"McDonald, Forrest J." ,"REP" ,"Total" ,30 ,
"23-770 Dimond No. 2" ,"HOUSE DISTRICT 23 (R)" ,"REP" ,"NP" ,"Dougherty, Connie R." ,"REP" ,"Total" ,39 ,
"24-700 Huffman No. 1" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1950 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,101 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,3 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,50 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,13 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,34 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1950 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,239 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,26 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,21 ,
"24-700 Huffman No. 1" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,186 ,
"24-700 Huffman No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1950 ,
"24-700 Huffman No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,101 ,
"24-700 Huffman No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,83 ,
"24-700 Huffman No. 1" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,11 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1950 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,239 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,139 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,4 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,2 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,2 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,2 ,
"24-700 Huffman No. 1" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,84 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1950 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,101 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,89 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1950 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,239 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,26 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,43 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,12 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,111 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,20 ,
"24-700 Huffman No. 1" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,15 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1950 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,101 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Levi, Sue" ,"DEM" ,"Total" ,91 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1950 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,239 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Kopp, Charles M." ,"REP" ,"Total" ,154 ,
"24-700 Huffman No. 1" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Duplantis, Stephen J" ,"REP" ,"Total" ,73 ,
"24-705 Huffman No. 2" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1732 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,109 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,8 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,53 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,11 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,34 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1732 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,140 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,23 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,12 ,
"24-705 Huffman No. 2" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,102 ,
"24-705 Huffman No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1732 ,
"24-705 Huffman No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,109 ,
"24-705 Huffman No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,95 ,
"24-705 Huffman No. 2" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,9 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1732 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,140 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,0 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,94 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,0 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,4 ,
"24-705 Huffman No. 2" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,39 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1732 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,109 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,99 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1732 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,140 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,15 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,31 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,5 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,61 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,9 ,
"24-705 Huffman No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,8 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1732 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,109 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (ADL)" ,"ADL" ,"NP" ,"Levi, Sue" ,"DEM" ,"Total" ,102 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1732 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,140 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Kopp, Charles M." ,"REP" ,"Total" ,77 ,
"24-705 Huffman No. 2" ,"HOUSE DISTRICT 24 (R)" ,"REP" ,"NP" ,"Duplantis, Stephen J" ,"REP" ,"Total" ,54 ,
"24-710 Klatt" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"24-710 Klatt" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"24-710 Klatt" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
